id_estacion;latitud;longitud;fecha;no2
28079004;40.424319;-3.711782;07/04/2016 0:00;90
28079004;40.424319;-3.711782;07/04/2016 0:00;90
28079004;40.424319;-3.711782;08/04/2016 9:00;26
28079004;40.424319;-3.711782;08/04/2016 10:00;43
28079004;40.424319;-3.711782;08/04/2016 10:00;43
28079004;40.424319;-3.711782;08/04/2016 10:00;43
28079004;40.424319;-3.711782;08/04/2016 11:00;37
28079004;40.424319;-3.711782;08/04/2016 11:00;37
28079004;40.424319;-3.711782;10/04/2016 4:00;30
28079004;40.424319;-3.711782;10/04/2016 5:00;23
28079004;40.424319;-3.711782;10/04/2016 5:00;23
28079004;40.424319;-3.711782;10/04/2016 5:00;23
28079004;40.424319;-3.711782;10/04/2016 5:00;23
28079004;40.424319;-3.711782;10/04/2016 6:00;12
28079004;40.424319;-3.711782;10/04/2016 6:00;12
28079004;40.424319;-3.711782;10/04/2016 6:00;12
28079004;40.424319;-3.711782;10/04/2016 6:00;12
28079004;40.424319;-3.711782;11/04/2016 21:00;49
28079004;40.424319;-3.711782;11/04/2016 22:00;34
28079004;40.424319;-3.711782;11/04/2016 22:00;34
28079004;40.424319;-3.711782;11/04/2016 23:00;33
28079004;40.424319;-3.711782;11/04/2016 23:00;33
28079004;40.424319;-3.711782;11/04/2016 23:00;33
28079004;40.424319;-3.711782;12/04/2016 0:00;22
28079004;40.424319;-3.711782;12/04/2016 0:00;22
28079004;40.424319;-3.711782;13/04/2016 7:00;9
28079004;40.424319;-3.711782;13/04/2016 7:00;9
28079004;40.424319;-3.711782;13/04/2016 8:00;14
28079004;40.424319;-3.711782;13/04/2016 8:00;14
28079004;40.424319;-3.711782;14/04/2016 11:00;70
28079004;40.424319;-3.711782;14/04/2016 11:00;70
28079004;40.424319;-3.711782;14/04/2016 12:00;58
28079004;40.424319;-3.711782;14/04/2016 12:00;58
28079004;40.424319;-3.711782;14/04/2016 12:00;58
28079004;40.424319;-3.711782;14/04/2016 13:00;36
28079004;40.424319;-3.711782;14/04/2016 14:00;29
28079004;40.424319;-3.711782;14/04/2016 14:00;29
28079004;40.424319;-3.711782;14/04/2016 14:00;29
28079004;40.424319;-3.711782;14/04/2016 15:00;24
